unidad,tipo_unidad,sector,nombre,email,rut,telefono,tipo_vinculo,es_residente,recibe_notificaciones,es_responsable,estacionamiento1,estacionamiento2,estacionamiento3,patente1,tipo_vehiculo1,marca1,modelo1,color1,patente2,tipo_vehiculo2,marca2,modelo2,color2,est2,patente3,tipo_vehiculo3,marca3,modelo3,color3,est3,bodega1,bodega2,bodega3
10,CASA,sector 1,Fernanda Perez Valdes,residente1casa10@vista.cl,10.352.896-8,56988961459,PROPIETARIO,SI,SI,SI,E-10,,,NPZY98,AUTO,Peugeot,208,Negro,ZQLN25,AUTO,Honda,Civic,Negro,,,,,,,,,,
11,CASA,sector 1,Andres Campos Diaz,residente1casa11@vista.cl,13.841.005-6,56919046318,PROPIETARIO,SI,SI,SI,E-11,,,,,,,,,,,,,,,,,,,,,,
11,CASA,sector 1,Marcelo Rojas Valdes,residente2casa11@vista.cl,11.188.789-6,56979008866,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
12,CASA,sector 1,Agustin Lagos Valdes,residente1casa12@vista.cl,23.431.713-K,56924665841,PROPIETARIO,SI,SI,SI,E-12,,,GMKC94,AUTO,Peugeot,3008,Plata,MSRZ22,AUTO,Mazda,CX-5,Blanco,,,,,,,,,,
13,CASA,sector 1,Emilia Rios Aguilera,residente1casa13@vista.cl,24.026.215-0,56911980765,PROPIETARIO,SI,SI,SI,E-13,,,MWBV80,AUTO,Suzuki,Swift,Blanco,,,,,,,,,,,,,,,
14,CASA,sector 1,Andres Ramos Sepulveda,residente1casa14@vista.cl,13.185.957-0,56949823450,PROPIETARIO,SI,SI,SI,E-14,,,MWXE10,AUTO,Kia,Cerato,Plata,UHSS81,CAMIONETA,Chevrolet,Colorado,Azul,,,,,,,,,,
14,CASA,sector 1,Agustina Diaz Peña,residente2casa14@vista.cl,22.343.621-8,56982772208,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
14,CASA,sector 1,Emilia Peña Vega,residente3casa14@vista.cl,18.436.429-8,56981286543,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
15,CASA,sector 1,Javier Perez Catalan,propietario_casa15@vista.cl,24.458.926-K,56941568532,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
15,CASA,sector 1,Daniela Ortiz Lopez,residente1casa15@vista.cl,22.015.704-0,56952169044,ARRENDATARIO,SI,SI,SI,E-15,,,PQKP76,AUTO,Peugeot,3008,Gris,,,,,,,,,,,,,,,
16,CASA,sector 1,Natalia Morales Tapia,residente1casa16@vista.cl,23.987.919-5,56982909480,PROPIETARIO,SI,SI,SI,E-16,,,YYAQ82,AUTO,Nissan,Versa,Blanco,NDJB41,CAMIONETA,Toyota,Hilux,Gris,,,,,,,,,,
16,CASA,sector 1,Andres Flores Herrera,residente2casa16@vista.cl,23.540.890-2,56997775215,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
17,CASA,sector 1,Gonzalo Martinez Núñez,residente1casa17@vista.cl,11.936.571-6,56924366125,PROPIETARIO,SI,SI,SI,E-17,,,,,,,,,,,,,,,,,,,,,,
17,CASA,sector 1,Miguel Sandoval Sepulveda,residente2casa17@vista.cl,14.569.244-K,56947816686,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
17,CASA,sector 1,Agustina Catalan Campos,residente3casa17@vista.cl,24.309.502-6,56945431319,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
18,CASA,sector 1,Andres Vargas Sandoval,residente1casa18@vista.cl,10.162.230-4,56925015458,PROPIETARIO,SI,SI,SI,E-18,,,IDZE66,CAMIONETA,Chevrolet,Colorado,Rojo,,,,,,,,,,,,,,,
19,CASA,sector 1,Marcelo Sepulveda Aguilera,propietario_casa19@vista.cl,10.604.451-1,56959555330,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
19,CASA,sector 1,Agustina Catalan Mendez,residente1casa19@vista.cl,21.189.285-4,56923796726,ARRENDATARIO,SI,SI,SI,E-19,,,BJYZ15,AUTO,Hyundai,Accent,Gris,,,,,,,,,,,,,,,
19,CASA,sector 1,Vicente Sandoval Torres,residente3casa19@vista.cl,20.412.972-K,56930743797,RESIDENTE_ADICIONAL,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
19,CASA,sector 1,Josefa Reyes Torres,residente4casa19@vista.cl,10.415.846-3,56934073380,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
20,CASA,sector 1,Constanza Perez Vergara,residente1casa20@vista.cl,15.891.254-6,56996098221,PROPIETARIO,SI,SI,SI,E-20,,,UCWW38,AUTO,Chevrolet,Sail,Negro,VWFR61,AUTO,Suzuki,Baleno,Gris,,,,,,,,,,
20,CASA,sector 1,Cristobal Rivera Catalan,residente2casa20@vista.cl,24.154.285-8,56981969657,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
20,CASA,sector 1,Gonzalo Núñez Reyes,residente3casa20@vista.cl,19.740.679-8,56945630292,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
21,CASA,sector 1,Sebastian Catalan Lagos,residente1casa21@vista.cl,22.447.856-9,56936445607,PROPIETARIO,SI,SI,SI,E-21,,,XEBL76,AUTO,Volkswagen,T-Cross,Verde,,,,,,,,,,,,,,,
21,CASA,sector 1,Martin Vargas Perez,residente2casa21@vista.cl,21.144.059-7,56954318698,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
21,CASA,sector 1,Florencia Lagos Flores,residente3casa21@vista.cl,18.508.103-6,56951511484,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
22,CASA,sector 1,Sofia Flores Hernandez,residente1casa22@vista.cl,13.526.280-3,56967698610,PROPIETARIO,SI,SI,SI,E-22,,,RXQH80,AUTO,Ford,EcoSport,Verde,,,,,,,,,,,,,,,
22,CASA,sector 1,Alvaro Peña Molina,residente2casa22@vista.cl,20.984.137-1,56953251559,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
23,CASA,sector 1,Maximo Campos Pizarro,residente1casa23@vista.cl,13.262.081-4,56961536717,PROPIETARIO,SI,SI,SI,E-23,,,CNQI40,CAMIONETA,Mitsubishi,L200,Azul,FAGM19,AUTO,Nissan,Versa,Plata,,,,,,,,,,
23,CASA,sector 1,Santiago Rivera Mendez,residente2casa23@vista.cl,12.475.836-K,56998054615,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
24,CASA,sector 1,Roberto Lagos Henriquez,residente1casa24@vista.cl,17.159.521-5,56983534128,PROPIETARIO,SI,SI,SI,E-24,,,YNBG25,AUTO,Chevrolet,Sail,Plata,RZPY66,AUTO,Hyundai,Accent,Rojo,,,,,,,,,,
24,CASA,sector 1,Tomas Morales Acosta,residente2casa24@vista.cl,24.453.486-4,56973709724,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
24,CASA,sector 1,Cristian Campos Vergara,residente3casa24@vista.cl,22.848.221-8,56979967676,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
25,CASA,sector 1,Maximo Torres Valdes,residente1casa25@vista.cl,19.103.504-6,56972535301,PROPIETARIO,SI,SI,SI,E-25,,,ODGS37,AUTO,Nissan,Qashqai,Blanco,,,,,,,,,,,,,,,
25,CASA,sector 1,Maximo Diaz Ortiz,residente2casa25@vista.cl,23.973.595-9,56966390708,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
25,CASA,sector 1,Pedro Muñoz Moreno,residente3casa25@vista.cl,19.658.481-1,56961053877,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
26,CASA,sector 1,Rodrigo Aguilera Muñoz,residente1casa26@vista.cl,16.610.562-5,56989442503,PROPIETARIO,SI,SI,SI,E-26,,,TUXM44,AUTO,Suzuki,Swift,Plata,IRKE69,MOTO,Volkswagen,Gol,Negro,,,,,,,,,,
26,CASA,sector 1,Felipe Lopez Muñoz,residente2casa26@vista.cl,11.408.404-2,56996268397,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
27,CASA,sector 1,Matias Ortiz Ortiz,propietario_casa27@vista.cl,15.483.562-8,56955298556,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
27,CASA,sector 1,Cristian Muñoz Herrera,residente1casa27@vista.cl,12.556.551-4,56942016960,ARRENDATARIO,SI,SI,SI,E-27,,,YKVM79,AUTO,Mazda,3,Blanco,BYBA41,AUTO,Mazda,CX-5,Negro,,,,,,,,,,
27,CASA,sector 1,Javiera Vega Lopez,residente3casa27@vista.cl,11.919.136-K,56985694715,RESIDENTE_ADICIONAL,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
28,CASA,sector 1,Juan Carrasco Rivera,residente1casa28@vista.cl,21.995.956-7,56936619372,PROPIETARIO,SI,SI,SI,E-28,,,UEIP49,CAMIONETA,Mitsubishi,L200,Rojo,,,,,,,,,,,,,,,
28,CASA,sector 1,Catalina Peña Alvarez,residente2casa28@vista.cl,23.934.679-0,56994187049,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
29,CASA,sector 1,Maite Lagos Briones,residente1casa29@vista.cl,20.912.864-0,56946249845,PROPIETARIO,SI,SI,SI,E-29,,,JLJN53,AUTO,Peugeot,3008,Blanco,CYQV29,AUTO,Suzuki,Swift,Plata,,,,,,,,,,
29,CASA,sector 1,Rodrigo Aguilera Vega,residente2casa29@vista.cl,17.799.287-9,56968461818,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
30,CASA,sector 1,Diego Gonzalez Briones,residente1casa30@vista.cl,13.205.394-4,56921490777,PROPIETARIO,SI,SI,SI,E-30,,,GMPJ13,CAMIONETA,Chevrolet,Colorado,Plata,FUIW99,AUTO,Nissan,Qashqai,Gris,,,,,,,,,,
30,CASA,sector 1,Camila Lagos Torres,residente2casa30@vista.cl,18.196.976-8,56984514489,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
31,CASA,sector 1,Florencia Lagos Castro,residente1casa31@vista.cl,15.294.016-5,56926046365,PROPIETARIO,SI,SI,SI,E-31,,,KGRJ80,CAMIONETA,Toyota,Hilux,Rojo,TISH42,AUTO,Mazda,CX-5,Negro,,,,,,,,,,
31,CASA,sector 1,Miguel Aguilera Moreno,residente2casa31@vista.cl,21.579.023-1,56934850391,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
32,CASA,sector 1,Carlos Ramos Contreras,residente1casa32@vista.cl,24.641.807-1,56911646234,PROPIETARIO,SI,SI,SI,E-32,,,CFFE11,AUTO,Renault,Clio,Azul,BBHY91,AUTO,Peugeot,208,Verde,,,,,,,,,,
32,CASA,sector 1,Felipe Hernandez Vega,residente2casa32@vista.cl,18.031.491-1,56969118721,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
33,CASA,sector 1,Catalina Rivera Ramos,residente1casa33@vista.cl,11.242.892-5,56987446468,PROPIETARIO,SI,SI,SI,E-33,,,,,,,,,,,,,,,,,,,,,,
33,CASA,sector 1,Alonso Catalan Diaz,residente2casa33@vista.cl,12.545.556-5,56930024960,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
33,CASA,sector 1,Valentina Mendez Silva,residente3casa33@vista.cl,19.362.911-3,56965857931,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
34,CASA,sector 2,Agustina Campos Ortiz,residente1casa34@vista.cl,14.440.025-9,56998641164,PROPIETARIO,SI,SI,SI,E-34,,,PLOB22,AUTO,Suzuki,Baleno,Verde,,,,,,,,,,,,,,,
34,CASA,sector 2,Valentina Morales Mendez,residente2casa34@vista.cl,12.916.107-8,56984087145,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
35,CASA,sector 2,Alvaro Campos Peña,residente1casa35@vista.cl,21.092.810-3,56936550845,PROPIETARIO,SI,SI,SI,E-35,,,HWBG43,AUTO,Chevrolet,Sail,Verde,,,,,,,,,,,,,,,
35,CASA,sector 2,Lucas Silva Aguilera,residente2casa35@vista.cl,13.771.676-3,56996924061,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
36,CASA,sector 2,Alvaro Flores Molina,propietario_casa36@vista.cl,22.565.425-5,56986397676,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
36,CASA,sector 2,Cristian Pizarro Peña,residente1casa36@vista.cl,10.348.050-7,56946173157,ARRENDATARIO,SI,SI,SI,E-36,,,RSYN73,AUTO,Suzuki,Baleno,Plata,XTPA39,CAMIONETA,Toyota,Hilux,Azul,,,,,,,,,,
37,CASA,sector 2,Facundo Cortes Torres,residente1casa37@vista.cl,15.591.986-8,56953091709,PROPIETARIO,SI,SI,SI,E-37,,,XEPQ72,AUTO,Volkswagen,T-Cross,Blanco,,,,,,,,,,,,,,,
37,CASA,sector 2,Franco Contreras Morales,residente2casa37@vista.cl,15.533.187-9,56965250068,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
37,CASA,sector 2,Agustin Moreno Sandoval,residente3casa37@vista.cl,10.615.675-1,56971045700,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
38,CASA,sector 2,Mauricio Henriquez Gonzalez,propietario_casa38@vista.cl,21.033.710-5,56982825679,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
38,CASA,sector 2,Diego Martinez Hernandez,residente1casa38@vista.cl,17.350.368-7,56975056916,ARRENDATARIO,SI,SI,SI,E-38,,,JTQT36,AUTO,Toyota,Yaris,Gris,,,,,,,,,,,,,,,
38,CASA,sector 2,Florencia Muñoz Campos,residente3casa38@vista.cl,20.215.171-K,56942117961,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
38,CASA,sector 2,Sofia Sandoval Torres,residente4casa38@vista.cl,11.563.790-8,56940158811,RESIDENTE_ADICIONAL,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
39,CASA,sector 2,Hernan Torres Valdes,residente1casa39@vista.cl,23.215.705-4,56978147397,PROPIETARIO,SI,SI,SI,E-39,,,HSKM70,AUTO,Volkswagen,Gol,Negro,JXNW18,AUTO,Suzuki,Baleno,Gris,,,,,,,,,,
40,CASA,sector 2,Fernanda Torres Rojas,residente1casa40@vista.cl,15.338.112-7,56973481797,PROPIETARIO,SI,SI,SI,E-40,,,RWLM52,AUTO,Peugeot,3008,Rojo,LIES83,AUTO,Subaru,XV,Plata,,,,,,,,,,
41,CASA,sector 2,Mauricio Contreras Tapia,residente1casa41@vista.cl,11.672.884-2,56980591959,PROPIETARIO,SI,SI,SI,E-41,,,QDZD85,AUTO,Ford,EcoSport,Gris,,,,,,,,,,,,,,,
41,CASA,sector 2,Mateo Gonzalez Lagos,residente2casa41@vista.cl,12.418.526-2,56965026398,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
41,CASA,sector 2,Catalina Vega Núñez,residente3casa41@vista.cl,15.680.114-3,56993652460,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
42,CASA,sector 2,Alonso Olivares Contreras,residente1casa42@vista.cl,17.443.690-8,56932329103,PROPIETARIO,SI,SI,SI,E-42,,,QXMO89,AUTO,Mazda,3,Blanco,XZTL22,AUTO,Chevrolet,Sail,Verde,,,,,,,,,,
42,CASA,sector 2,Pedro Flores Muñoz,residente2casa42@vista.cl,10.771.600-9,56953536830,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
42,CASA,sector 2,Martin Vargas Sepulveda,residente3casa42@vista.cl,14.096.953-2,56981291936,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
43,CASA,sector 2,Rodrigo Carrasco Herrera,propietario_casa43@vista.cl,21.461.096-5,56942323627,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
43,CASA,sector 2,Juan Aguilera Morales,residente1casa43@vista.cl,11.239.197-5,56969287967,ARRENDATARIO,SI,SI,SI,E-43,,,LGGA69,AUTO,Peugeot,3008,Gris,,,,,,,,,,,,,,,
44,CASA,sector 2,Joaquin Pizarro Cortes,residente1casa44@vista.cl,19.643.743-6,56949711319,PROPIETARIO,SI,SI,SI,E-44,,,LHZW23,AUTO,Suzuki,Swift,Negro,,,,,,,,,,,,,,,
44,CASA,sector 2,Pedro Hernandez Muñoz,residente2casa44@vista.cl,23.925.719-4,56998346110,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
44,CASA,sector 2,Mauricio Catalan Acosta,residente3casa44@vista.cl,10.822.825-3,56991390501,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
45,CASA,sector 2,Javiera Campos Contreras,residente1casa45@vista.cl,20.527.000-0,56996750368,PROPIETARIO,SI,SI,SI,E-45,,,EGTT97,AUTO,Mazda,CX-5,Verde,,,,,,,,,,,,,,,
45,CASA,sector 2,Martina Flores Tapia,residente2casa45@vista.cl,10.559.763-0,56987789079,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
45,CASA,sector 2,Natalia Espinoza Acosta,residente3casa45@vista.cl,16.970.985-8,56933574011,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
46,CASA,sector 2,Florencia Ortiz Perez,residente1casa46@vista.cl,12.361.510-7,56940281491,PROPIETARIO,SI,SI,SI,E-46,,,GVMU53,CAMIONETA,Chevrolet,Colorado,Verde,,,,,,,,,,,,,,,
46,CASA,sector 2,Mauricio Catalan Lagos,residente2casa46@vista.cl,21.314.658-0,56963339667,RESIDENTE_ADICIONAL,NO,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
47,CASA,sector 2,Sebastian Silva Ortiz,residente1casa47@vista.cl,16.183.841-1,56945186708,PROPIETARIO,SI,SI,SI,E-47,,,,,,,,,,,,,,,,,,,,,,
47,CASA,sector 2,Ignacio Carrasco Campos,residente2casa47@vista.cl,16.232.293-1,56924541967,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
47,CASA,sector 2,Rodrigo Sandoval Espinoza,residente3casa47@vista.cl,20.235.480-7,56939711402,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
48,CASA,sector 2,Joaquin Ortiz Fuentes,residente1casa48@vista.cl,21.248.892-5,56982503409,PROPIETARIO,SI,SI,SI,E-48,,,YHMC78,AUTO,Hyundai,Tucson,Negro,,,,,,,,,,,,,,,
48,CASA,sector 2,Maximo Peña Acosta,residente2casa48@vista.cl,22.190.310-2,56930739712,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
48,CASA,sector 2,Cristian Ramos Herrera,residente3casa48@vista.cl,16.847.048-7,56947546086,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
49,CASA,sector 2,Alvaro Valdes Mendez,residente1casa49@vista.cl,12.112.652-4,56985776373,PROPIETARIO,SI,SI,SI,E-49,,,JXQB45,AUTO,Hyundai,Tucson,Negro,VCFQ12,AUTO,Hyundai,Tucson,Blanco,,,,,,,,,,
49,CASA,sector 2,Agustina Perez Moreno,residente2casa49@vista.cl,19.298.063-1,56937804191,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
49,CASA,sector 2,Fernanda Valdes Sepulveda,residente3casa49@vista.cl,23.231.246-7,56989991301,RESIDENTE_ADICIONAL,SI,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
50,CASA,sector 2,Daniela Reyes Silva,propietario_casa50@vista.cl,21.090.706-8,56913460153,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
50,CASA,sector 2,Vicente Mendez Peña,residente1casa50@vista.cl,15.431.983-2,56912118101,ARRENDATARIO,SI,SI,SI,E-50,,,,,,,,,,,,,,,,,,,,,,
51,CASA,sector 2,Miguel Torres Briones,propietario_casa51@vista.cl,11.906.718-9,56918530615,PROPIETARIO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,
51,CASA,sector 2,Barbara Ortiz Rios,residente1casa51@vista.cl,10.522.621-7,56918163847,ARRENDATARIO,SI,SI,SI,E-51,,,PLFP94,AUTO,Subaru,XV,Rojo,,,,,,,,,,,,,,,
52,CASA,sector 2,Constanza Herrera Campos,residente1casa52@vista.cl,19.820.789-6,56983599154,PROPIETARIO,SI,SI,SI,E-52,,,XBCP18,AUTO,Hyundai,Tucson,Negro,,,,,,,,,,,,,,,
52,CASA,sector 2,Andres Espinoza Carrasco,residente2casa52@vista.cl,20.022.572-4,56981210133,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
52,CASA,sector 2,Lucas Contreras Alvarez,residente3casa52@vista.cl,11.919.549-7,56997874085,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
53,CASA,sector 3,Daniela Fuentes Sepulveda,residente1casa53@vista.cl,21.522.944-0,56973655158,PROPIETARIO,SI,SI,SI,E-53,,,VKSI50,AUTO,Chevrolet,Sail,Azul,,,,,,,,,,,,,,,
53,CASA,sector 3,Catalina Soto Soto,residente2casa53@vista.cl,11.564.141-7,56967965485,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
54,CASA,sector 3,Jorge Diaz Hernandez,residente1casa54@vista.cl,20.073.209-K,56951936181,PROPIETARIO,SI,SI,SI,E-54,,,RKWY64,AUTO,Peugeot,208,Verde,,,,,,,,,,,,,,,
54,CASA,sector 3,Vicente Contreras Pizarro,residente2casa54@vista.cl,18.512.969-1,56938553319,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
55,CASA,sector 3,Juan Rios Sandoval,residente1casa55@vista.cl,10.440.466-9,56991737913,PROPIETARIO,SI,SI,SI,E-55,,,OUVZ89,AUTO,Hyundai,Tucson,Rojo,,,,,,,,,,,,,,,
55,CASA,sector 3,Franco Alvarez Vergara,residente2casa55@vista.cl,10.485.753-1,56934215035,RESIDENTE_ADICIONAL,SI,SI,NO,,,,,,,,,,,,,,,,,,,,,,,
